response_id,classificacao,score
M023_OPENAI,negative,0.986888
M023_ANTHROPIC,positive,0.953123
M023_META,neutral,0.507719
M024_OPENAI,negative,0.633142
M024_ANTHROPIC,negative,0.855688
M024_META,positive,0.475576
M025_OPENAI,negative,0.646535
M025_ANTHROPIC,negative,0.988021
M025_META,negative,0.462023
M026_OPENAI,positive,0.970318
M026_ANTHROPIC,positive,0.975857
M026_META,positive,0.454084
M027_OPENAI,negative,0.986785
M027_ANTHROPIC,neutral,0.829722
M027_META,neutral,0.686736
M028_OPENAI,negative,0.987018
M028_ANTHROPIC,negative,0.900888
M028_META,neutral,0.841861
M029_OPENAI,negative,0.980956
M029_ANTHROPIC,positive,0.976329
M029_META,negative,0.392473
M030_OPENAI,negative,0.963455
M030_ANTHROPIC,negative,0.988069
M030_META,neutral,0.502733
M031_OPENAI,neutral,0.817882
M031_ANTHROPIC,neutral,0.954146
M031_META,neutral,0.973451
M032_OPENAI,negative,0.731165
M032_ANTHROPIC,negative,0.943101
M032_META,negative,0.976953
M033_OPENAI,positive,0.990047
M033_ANTHROPIC,positive,0.988851
M033_META,positive,0.976861
M034_OPENAI,negative,0.825091
M034_ANTHROPIC,neutral,0.560883
M034_META,negative,0.78902
M035_OPENAI,negative,0.986606
M035_ANTHROPIC,positive,0.865935
M035_META,negative,0.755153
M036_OPENAI,neutral,0.625506
M036_ANTHROPIC,positive,0.472881
M036_META,neutral,0.936734
M037_OPENAI,neutral,0.894072
M037_ANTHROPIC,positive,0.722937
M037_META,positive,0.985927
M038_OPENAI,negative,0.981799
M038_ANTHROPIC,negative,0.986249
M038_META,positive,0.749854
M039_OPENAI,negative,0.988291
M039_ANTHROPIC,negative,0.981104
M039_META,negative,0.709118
M040_OPENAI,negative,0.654221
M040_ANTHROPIC,negative,0.984151
M040_META,negative,0.468219
M041_OPENAI,negative,0.97589
M041_ANTHROPIC,neutral,0.595686
M041_META,negative,0.961425
M042_OPENAI,neutral,0.809814
M042_ANTHROPIC,negative,0.988851
M042_META,neutral,0.815319
M043_OPENAI,negative,0.987374
M043_ANTHROPIC,negative,0.823234
M043_META,negative,0.987603
M044_OPENAI,neutral,0.910567
M044_ANTHROPIC,neutral,0.920999
M044_META,neutral,0.631
M045_OPENAI,negative,0.916232
M045_ANTHROPIC,neutral,0.849532
M045_META,neutral,0.673758
M046_OPENAI,neutral,0.964407
M046_ANTHROPIC,positive,0.990144
M046_META,positive,0.984937
M047_OPENAI,negative,0.951281
M047_ANTHROPIC,positive,0.64296
M047_META,neutral,0.977435
M048_OPENAI,negative,0.834154
M048_ANTHROPIC,negative,0.975096
M048_META,negative,0.980147
M049_OPENAI,negative,0.956666
M049_ANTHROPIC,negative,0.983347
M049_META,negative,0.959171
M050_OPENAI,negative,0.435917
M050_ANTHROPIC,positive,0.969798
M050_META,negative,0.693689
M051_OPENAI,negative,0.968382
M051_ANTHROPIC,neutral,0.880067
M051_META,positive,0.731749
M052_OPENAI,negative,0.986423
M052_ANTHROPIC,negative,0.9832
M052_META,neutral,0.75803
M053_OPENAI,positive,0.960386
M053_ANTHROPIC,neutral,0.77246
M053_META,positive,0.859611
M054_OPENAI,neutral,0.607868
M054_ANTHROPIC,negative,0.981873
M054_META,positive,0.972695
M055_OPENAI,negative,0.9851
M055_ANTHROPIC,negative,0.982614
M055_META,negative,0.976958
M056_OPENAI,neutral,0.608636
M056_ANTHROPIC,negative,0.940973
M056_META,neutral,0.785172
M057_OPENAI,positive,0.963084
M057_ANTHROPIC,positive,0.990674
M057_META,positive,0.994809
M058_OPENAI,negative,0.493837
M058_ANTHROPIC,positive,0.974505
M058_META,neutral,0.487724
M059_OPENAI,negative,0.781555
M059_ANTHROPIC,negative,0.968479
M059_META,neutral,0.917022
M060_OPENAI,neutral,0.747008
M060_ANTHROPIC,neutral,0.546238
M060_META,positive,0.501891
M061_OPENAI,positive,0.988225
M061_ANTHROPIC,positive,0.989427
M061_META,positive,0.993471
M062_OPENAI,negative,0.987479
M062_ANTHROPIC,negative,0.983623
M062_META,negative,0.988027
M063_OPENAI,neutral,0.73511
M063_ANTHROPIC,neutral,0.904459
M063_META,neutral,0.907477
M064_OPENAI,positive,0.828378
M064_ANTHROPIC,positive,0.988416
M064_META,positive,0.98496
M065_OPENAI,neutral,0.523759
M065_ANTHROPIC,neutral,0.889874
M065_META,negative,0.944692
M066_OPENAI,negative,0.931105
M066_ANTHROPIC,neutral,0.978027
M066_META,neutral,0.833279
M067_OPENAI,negative,0.887176
M067_ANTHROPIC,neutral,0.93784
M067_META,positive,0.908952
M068_OPENAI,positive,0.937848
M068_ANTHROPIC,positive,0.921339
M068_META,neutral,0.570636
M069_OPENAI,positive,0.503506
M069_ANTHROPIC,positive,0.973785
M069_META,positive,0.991905
M070_OPENAI,negative,0.986748
M070_ANTHROPIC,negative,0.98412
M070_META,negative,0.639287
M071_OPENAI,positive,0.97601
M071_ANTHROPIC,positive,0.943885
M071_META,positive,0.657307
M072_OPENAI,negative,0.944838
M072_ANTHROPIC,negative,0.984735
M072_META,neutral,0.966899
M073_OPENAI,negative,0.969161
M073_ANTHROPIC,neutral,0.917953
M073_META,neutral,0.761017
M074_OPENAI,positive,0.980423
M074_ANTHROPIC,positive,0.97271
M074_META,positive,0.992184
M075_OPENAI,positive,0.993163
M075_ANTHROPIC,neutral,0.84685
M075_META,positive,0.979718
M076_OPENAI,neutral,0.953814
M076_ANTHROPIC,neutral,0.983022
M076_META,neutral,0.979278
M077_OPENAI,negative,0.965037
M077_ANTHROPIC,neutral,0.935834
M077_META,neutral,0.753632
M078_OPENAI,neutral,0.843135
M078_ANTHROPIC,negative,0.684937
M078_META,neutral,0.944653
M079_OPENAI,neutral,0.598602
M079_ANTHROPIC,negative,0.972713
M079_META,positive,0.728215
M080_OPENAI,negative,0.983989
M080_ANTHROPIC,negative,0.984592
M080_META,neutral,0.73762
M081_OPENAI,negative,0.963671
M081_ANTHROPIC,negative,0.986599
M081_META,neutral,0.550548
M082_OPENAI,neutral,0.691934
M082_ANTHROPIC,negative,0.984541
M082_META,neutral,0.847861
M083_OPENAI,negative,0.970388
M083_ANTHROPIC,negative,0.986022
M083_META,negative,0.982159
M084_OPENAI,negative,0.984104
M084_ANTHROPIC,neutral,0.781533
M084_META,negative,0.985709
M085_OPENAI,negative,0.982654
M085_ANTHROPIC,neutral,0.8981
M085_META,neutral,0.681987
M086_OPENAI,neutral,0.936138
M086_ANTHROPIC,neutral,0.974644
M086_META,positive,0.981079
M087_OPENAI,negative,0.986661
M087_ANTHROPIC,negative,0.988093
M087_META,neutral,0.563486
M088_OPENAI,negative,0.979544
M088_ANTHROPIC,negative,0.986753
M088_META,neutral,0.936605
M089_OPENAI,neutral,0.809899
M089_ANTHROPIC,positive,0.981462
M089_META,neutral,0.792982
M090_OPENAI,negative,0.981096
M090_ANTHROPIC,negative,0.984684
M090_META,negative,0.928794
M091_OPENAI,positive,0.983865
M091_ANTHROPIC,positive,0.977054
M091_META,positive,0.530147
M092_OPENAI,negative,0.984262
M092_ANTHROPIC,negative,0.980543
M092_META,positive,0.954074
M093_OPENAI,negative,0.979437
M093_ANTHROPIC,neutral,0.797969
M093_META,negative,0.984025
M094_OPENAI,neutral,0.961407
M094_ANTHROPIC,negative,0.935079
M094_META,neutral,0.979209
M095_OPENAI,negative,0.985756
M095_ANTHROPIC,positive,0.883582
M095_META,neutral,0.84298
M096_OPENAI,positive,0.819195
M096_ANTHROPIC,positive,0.946132
M096_META,positive,0.977311
M097_OPENAI,negative,0.972989
M097_ANTHROPIC,neutral,0.59659
M097_META,negative,0.973974
M098_OPENAI,negative,0.968993
M098_ANTHROPIC,negative,0.936704
M098_META,positive,0.876294
M099_OPENAI,positive,0.927888
M099_ANTHROPIC,negative,0.986638
M099_META,neutral,0.903318
M100_OPENAI,negative,0.985762
M100_ANTHROPIC,negative,0.985322
M100_META,neutral,0.960224
